threshold_mode,threshold,threshold_deployable,point_f1,pr_auc,event_recall,recall_at_30s,false_alarms_per_hour,median_delay_seconds,missed_incidents
best_f1,33.256989,False,0.712665,0.708846,1.0,1.0,62.556391,13.0,0
validation_f1,15.480546,True,0.706542,0.708846,1.0,1.0,65.864662,13.0,0
