threshold_mode,threshold,threshold_deployable,point_f1,pr_auc,event_recall,recall_at_30s,false_alarms_per_hour,median_delay_seconds,missed_incidents
best_f1,40.073665,False,0.564551,0.632368,0.975,0.575,55.037594,15.0,1
validation_f1,49.990913,True,0.538129,0.632368,0.625,0.5,10.526316,15.0,15
