incident_id,injection_start,injection_end,effect_start,effect_end,recovery_end,fault_type,target_service,root_cause_service,severity,duration_sec,valid_incident,root_cause_dims,secondary_dims
INC-001,2026-05-30T06:45:47Z,2026-05-30T06:46:46Z,2026-05-30T06:45:52Z,2026-05-30T06:46:46Z,2026-05-30T06:47:16Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-002,2026-05-30T06:50:37Z,2026-05-30T06:51:41Z,2026-05-30T06:50:42Z,2026-05-30T06:51:41Z,2026-05-30T06:52:41Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
INC-003,2026-05-30T06:57:38Z,2026-05-30T06:58:38Z,2026-05-30T06:57:43Z,2026-05-30T06:58:38Z,2026-05-30T06:59:08Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-004,2026-05-30T07:11:32Z,2026-05-30T07:12:35Z,2026-05-30T07:11:37Z,2026-05-30T07:12:35Z,2026-05-30T07:13:35Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
INC-005,2026-05-30T07:18:28Z,2026-05-30T07:19:28Z,2026-05-30T07:18:33Z,2026-05-30T07:19:28Z,2026-05-30T07:19:58Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-006,2026-05-30T07:23:56Z,2026-05-30T07:24:59Z,2026-05-30T07:24:01Z,2026-05-30T07:24:59Z,2026-05-30T07:25:59Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
INC-007,2026-05-30T07:30:26Z,2026-05-30T07:31:26Z,2026-05-30T07:30:31Z,2026-05-30T07:31:26Z,2026-05-30T07:31:56Z,cpu_stress,recommendationservice,recommendationservice,high,60,True,recommendationservice_cpu_usage;recommendationservice_latency_p95,frontend_latency_p95
INC-008,2026-05-30T07:36:09Z,2026-05-30T07:37:12Z,2026-05-30T07:36:14Z,2026-05-30T07:37:12Z,2026-05-30T07:38:12Z,pod_kill,cartservice,cartservice,critical,60,True,cartservice_restart_count;cartservice_error_rate;cartservice_qps,frontend_error_rate
